StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,...18,...19,Pref. (Black asc.),Pref. (Black desc.),Pref. explanation,Birth year,Gender,Gender_5_TEXT,Hispanic,Race,Political aff.,Political aff._4_TEXT,Independent Q,Education,Income
2023-12-21 15:09:27,2023-12-21 15:13:44,100,257,True,2023-12-21 15:13:45,R_5LwK71fLRsNvxrf,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,As it mentioned that due to Option D around 1034 will avoid jail time which is the most highest in numbers among the other options,1986,Woman,NA,No,Asian,Democrat,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$70,000 to $79,999"
2023-12-21 15:10:51,2023-12-21 15:13:46,100,175,True,2023-12-21 15:13:47,R_7O3aER5JzrISifM,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,Seemed to offer the most fairness,1994,Man,NA,No,White or Caucasian,Republican,NA,NA,High school diploma or GED,"$30,000 to $39,999"
2023-12-21 15:12:17,2023-12-21 15:14:03,100,105,True,2023-12-21 15:14:03,R_6gIoR6gyr6QrSNd,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,Because it is the most fair allocation.,1994,Man,NA,No,White or Caucasian,Republican,NA,NA,Bachelor’s degree,"$100,000 to $149,999"
2023-12-21 15:10:30,2023-12-21 15:14:06,100,216,True,2023-12-21 15:14:07,R_7psrRJcbIZq3AXq,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,it is skewed toward those who need more help.,1981,Man,NA,No,Black or African American,Independent,NA,Democrat,"Some college, but no degree","$50,000 to $59,999"
2023-12-21 15:12:47,2023-12-21 15:14:19,100,91,True,2023-12-21 15:14:20,R_6Gv4EsU8h9KIGKq,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,That way it’s equal for everyone,1971,Man,NA,No,White or Caucasian,Democrat,NA,NA,"Some college, but no degree","$20,000 to $29,999"
2023-12-21 15:11:10,2023-12-21 15:14:20,100,190,True,2023-12-21 15:14:21,R_1j2LbDJXP7dqIzJ,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,I chose option C because it was an even split - 50/50.,1958,Woman,NA,No,White or Caucasian,Democrat,NA,NA,High school diploma or GED,"$70,000 to $79,999"
2023-12-21 15:12:16,2023-12-21 15:14:27,100,131,True,2023-12-21 15:14:28,R_7jZkS9c3XqvHpOz,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,"It shouldn't be based ofc the color of someone's skin, it should be based off the distance you live from the courthouse",1999,Woman,NA,No,White or Caucasian,Independent,NA,Democrat,Associates or technical degree,"$80,000 to $89,999"
2023-12-21 15:11:26,2023-12-21 15:14:45,100,199,True,2023-12-21 15:14:45,R_3eRaj5Fj8p3GOGg,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,50/50 seems fair.,1962,Woman,NA,No,White or Caucasian,Republican,NA,NA,Bachelor’s degree,"$60,000 to $69,999"
2023-12-21 15:13:52,2023-12-21 15:15:02,100,70,True,2023-12-21 15:15:03,R_7iXChiJik2c79Hr,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,It makes sense to just make it all fair,1992,Man,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$150,000 or more"
2023-12-21 15:12:47,2023-12-21 15:15:05,100,138,True,2023-12-21 15:15:06,R_31mnVFhzwtSbFpS,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,It is the most fair.,1967,Woman,NA,No,White or Caucasian,Other,libertarian,NA,Associates or technical degree,"$90,000 to $99,999"
2023-12-21 15:13:02,2023-12-21 15:15:06,100,123,True,2023-12-21 15:15:07,R_3dFUdkdTTJIMu9F,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option A,"I chose that, because it's the lowest amount of for Black people.",1997,Woman,NA,No,Asian,Democrat,NA,NA,Bachelor’s degree,"$100,000 to $149,999"
2023-12-21 15:12:52,2023-12-21 15:15:11,100,139,True,2023-12-21 15:15:12,R_1DVm9bBg0PbakVt,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,White people are more likely to be able to afford to get to court because it's cheaper for them.,1998,Non-binary,NA,No,White or Caucasian,Democrat,NA,NA,Some high school or less,"$20,000 to $29,999"
2023-12-21 15:12:30,2023-12-21 15:15:19,100,169,True,2023-12-21 15:15:20,R_3gLel8FzGYFCKj9,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,"More people would stay out of jail in the option that was chosen. Just because more black individuals live further away from the city, doesn't mean that they're necessarily more prone to go to jail",1995,Man,NA,No,Asian,Democrat,NA,NA,Bachelor’s degree,"Less than $10,000"
2023-12-21 15:13:48,2023-12-21 15:15:29,100,101,True,2023-12-21 15:15:30,R_1tro8VnyfAFxJc1,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option E,NA,Because black people have to pay more therefore something should be done to combat the prices,2002,Woman,NA,No,White or Caucasian,Republican,NA,NA,Associates or technical degree,"$150,000 or more"
2023-12-21 15:09:35,2023-12-21 15:15:39,100,363,True,2023-12-21 15:15:39,R_7z5zhqvho0js5Yq,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,I feel splitting the money equally is the fair way to do it.,1968,Woman,NA,No,White or Caucasian,Republican,NA,NA,High school diploma or GED,"$20,000 to $29,999"
2023-12-21 15:11:07,2023-12-21 15:15:43,100,275,True,2023-12-21 15:15:43,R_7ZpfbtDxsEJyts5,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,Equal money $5 each makes it the most fair in my opinion,1959,Woman,NA,No,White or Caucasian,Republican,NA,NA,Associates or technical degree,"$90,000 to $99,999"
2023-12-21 15:09:50,2023-12-21 15:16:08,100,378,True,2023-12-21 15:16:09,R_1eUI5VbifEH1QE1,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,"It cost 4 times more for Black people to find round trip transportation to go to Court compared to white people. As white people live a shorter distance, the subsidy is not needed as much for them.",1999,Woman,NA,No,Black or African American,Democrat,NA,NA,Bachelor’s degree,"$150,000 or more"
2023-12-21 15:13:35,2023-12-21 15:16:18,100,163,True,2023-12-21 15:16:19,R_5dsDJSWVZtQdvrJ,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,I think that you should give the same amount of money per person.,1991,Man,NA,No,White or Caucasian,Republican,NA,NA,Associates or technical degree,"$90,000 to $99,999"
2023-12-21 15:12:23,2023-12-21 15:16:21,100,237,True,2023-12-21 15:16:21,R_1rvLe8mi3tl3JHN,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,Though Black people would normally be charged more I'm sure there are some disadvantaged white people in need.,1961,Man,NA,No,White or Caucasian,Republican,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000 to $149,999"
2023-12-21 15:14:31,2023-12-21 15:16:37,100,126,True,2023-12-21 15:16:38,R_5PpFlhukNXkuSYU,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,Because it is fair,1977,Man,NA,No,White or Caucasian,Republican,NA,NA,"Some college, but no degree","$100,000 to $149,999"
2023-12-21 15:14:20,2023-12-21 15:16:48,100,147,True,2023-12-21 15:16:49,R_5BmnkU7UwKRilAU,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,Even though it didn’t helped the max number of people it was equitable between both races,1991,Woman,NA,No,White or Caucasian,No preference,NA,NA,Bachelor’s degree,"$100,000 to $149,999"
2023-12-21 15:14:31,2023-12-21 15:16:49,100,138,True,2023-12-21 15:16:49,R_50lHeCZKP5z3O25,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,"This option resulted in the least amount of offendors visiting jail, reducing taxpayer costs.",1998,Man,NA,No,White or Caucasian,Independent,NA,Democrat,"Some college, but no degree","Less than $10,000"
2023-12-21 15:08:38,2023-12-21 15:17:33,100,534,True,2023-12-21 15:17:33,R_7ihLjXcRIgH7ipP,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,I preferred the chosen allocation because white and black both have the same opportunities.,1981,Woman,NA,No,White or Caucasian,Republican,NA,NA,Bachelor’s degree,"$100,000 to $149,999"
2023-12-21 15:16:39,2023-12-21 15:17:52,100,73,True,2023-12-21 15:17:53,R_5qzauXMPKdXEejd,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,It is the option that lets the most people avoid jail,2001,Woman,NA,No,Asian,Democrat,NA,NA,Bachelor’s degree,"$40,000 to $49,999"
2023-12-21 15:14:21,2023-12-21 15:18:00,100,218,True,2023-12-21 15:18:00,R_5rv9deppQ11fmqI,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,because it is more expensive for a black person to get to the courthouse so more money for them,1996,Man,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$150,000 or more"
2023-12-21 15:16:15,2023-12-21 15:18:00,100,105,True,2023-12-21 15:18:01,R_6FCONh81IIJWY6t,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,"Because the black people live farther away and it costs more for transport to the courthouse, they should get more money",1973,Man,NA,No,White or Caucasian,Independent,NA,Republican,"Some college, but no degree","$60,000 to $69,999"
2023-12-21 15:16:25,2023-12-21 15:18:06,100,101,True,2023-12-21 15:18:07,R_55KlYAGvc61OPba,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,Less people avoid jail,1971,Woman,NA,No,White or Caucasian,Republican,NA,NA,Bachelor’s degree,"$70,000 to $79,999"
2023-12-21 15:14:10,2023-12-21 15:18:19,100,248,True,2023-12-21 15:18:20,R_1aCAOtONv5DPjKO,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,It was split evenly and kept the second greatest number of people out of jail.,1964,Man,NA,No,White or Caucasian,Independent,NA,Democrat,Associates or technical degree,"$90,000 to $99,999"
2023-12-21 15:10:21,2023-12-21 15:18:27,100,486,True,2023-12-21 15:18:28,R_1iqD46sGYp7Vn11,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,"it saves the 2nd most people, allowing them to go to court. I didn't pick the one that saves the most, as I felt if it wasn't even, that would cause issues politically, even if it helped more people.",2001,Man,NA,No,White or Caucasian,Democrat,NA,NA,High school diploma or GED,"$40,000 to $49,999"
2023-12-21 15:15:42,2023-12-21 15:18:34,100,171,True,2023-12-21 15:18:35,R_8vjnBH6KGzCZvq5,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,I chose to go with saving a lot more people from going to jail regardless of their race,1998,Woman,NA,No,Black or African American,Democrat,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000 to $149,999"
2023-12-21 15:15:11,2023-12-21 15:18:40,100,209,True,2023-12-21 15:18:41,R_6K9H2EgjnaacKat,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,it would be discriminatory to do anything other than 50/50,1965,Man,NA,No,White or Caucasian,Republican,NA,NA,Bachelor’s degree,"$60,000 to $69,999"
2023-12-21 15:09:33,2023-12-21 15:18:47,100,553,True,2023-12-21 15:18:47,R_6xYuqJ98kdPmYQd,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option A,"People who live farther from court should have the most access to free rides, the sum total of people who ""stay out of jail"" isn't relevant to this.",1973,Woman,NA,Yes,White or Caucasian,Independent,NA,Democrat,Bachelor’s degree,"$80,000 to $89,999"
2023-12-21 15:11:34,2023-12-21 15:18:48,100,433,True,2023-12-21 15:18:48,R_3OeK4zN9mDgJj5X,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option A,The smaller amount options for the people living further away would not provide enough assistance to get them to court. They would still miss court.,1966,Woman,NA,No,White or Caucasian,Republican,NA,NA,Bachelor’s degree,"$20,000 to $29,999"
2023-12-21 15:17:00,2023-12-21 15:19:04,100,124,True,2023-12-21 15:19:05,R_6jUogSTCTs5Bu6J,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,This solution seems to save the most people,1983,Man,NA,No,Asian,Democrat,NA,NA,Bachelor’s degree,"$70,000 to $79,999"
2023-12-21 15:15:55,2023-12-21 15:19:21,100,205,True,2023-12-21 15:19:21,R_53BDl7JjMILf8Z7,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,It seems fair to divide it equally,1963,Woman,NA,No,"White or Caucasian,Asian",Republican,NA,NA,High school diploma or GED,"$70,000 to $79,999"
2023-12-21 15:16:43,2023-12-21 15:19:24,100,160,True,2023-12-21 15:19:24,R_5g2eEFktCpPkcSJ,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,Because this choice gave the most people whom avoided jail time,1968,Woman,NA,No,White or Caucasian,Democrat,NA,NA,"Some college, but no degree","$40,000 to $49,999"
2023-12-21 15:15:35,2023-12-21 15:19:24,100,228,True,2023-12-21 15:19:24,R_5DdzmNkkpQDoyrB,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,It seemed equally distributed this was and thus fair.,1962,Man,NA,No,White or Caucasian,Independent,NA,Democrat,Associates or technical degree,"$50,000 to $59,999"
2023-12-21 15:15:52,2023-12-21 15:19:27,100,214,True,2023-12-21 15:19:27,R_5IQJ0eRKVCbUq1B,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,"This is the most ""fair"" given the situation as the funds are equally distributed impartially.",1998,Man,NA,No,"Asian,Native Hawaiian or Other Pacific Islander",Independent,NA,Democrat,Associates or technical degree,"$60,000 to $69,999"
2023-12-21 15:18:00,2023-12-21 15:20:27,100,146,True,2023-12-21 15:20:28,R_5wymWhAFqEE8kZH,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,I felt like Black people deserved more of the budget because they were at a disadvantage by living further away from the court.,1990,Woman,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$70,000 to $79,999"
2023-12-21 15:16:53,2023-12-21 15:20:43,100,230,True,2023-12-21 15:20:44,R_6EdaWt2doLVzE6w,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,The amount allocated should be decided based on distance. Those who are a further distance should recieve a higher percentage of their fare.,1992,Man,NA,No,Asian,Independent,NA,Republican,Bachelor’s degree,"$150,000 or more"
2023-12-21 15:17:12,2023-12-21 15:20:51,100,219,True,2023-12-21 15:20:52,R_1AWKT3sa23NHTGh,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,"Because, according to the information included in the study, black people live disproportionately farther away from the courthouse and therefore carry a higher burden of transportation costs. Due to this reason, I chose option D, which provides additional funds for black people.",1992,Woman,NA,No,White or Caucasian,Other,Communist,NA,Bachelor’s degree,"$100,000 to $149,999"
2023-12-21 15:17:39,2023-12-21 15:20:51,100,191,True,2023-12-21 15:20:52,R_6htowSxx2yTSTv3,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,"I distributed based on need, but I was confused by the number of people avoiding jailtime. That didn't make sense to me.",1983,Man,NA,No,White or Caucasian,Independent,NA,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
2023-12-21 15:18:24,2023-12-21 15:21:15,100,171,True,2023-12-21 15:21:16,R_1oSJotn4gZNDqFW,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,It was an even distribution between black and white people.,1954,Woman,NA,No,White or Caucasian,Republican,NA,NA,Bachelor’s degree,"$60,000 to $69,999"
2023-12-21 15:13:31,2023-12-21 15:21:20,100,468,True,2023-12-21 15:21:20,R_3f7nkHkkLxJrBla,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,"While fewer people can be prevented from going to jail, it doesn't seem fair to determine how much money will be allocated to a person based solely on their race. I chose $5 each to avoid racial bias. The demographics of a location will change but racial bias can be avoided.",1994,Woman,NA,No,White or Caucasian,Democrat,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$50,000 to $59,999"
2023-12-21 15:18:47,2023-12-21 15:21:25,100,157,True,2023-12-21 15:21:26,R_1XmC34yTLG0Pofn,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,"it the population is 50% white and 50% black, the funds should be split 50/50",2002,Woman,NA,No,White or Caucasian,Republican,NA,NA,"Some college, but no degree","$60,000 to $69,999"
2023-12-21 15:17:52,2023-12-21 15:21:31,100,219,True,2023-12-21 15:21:32,R_7LYjElEjCR4KsnP,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,It is more difficult for Black people in this scenerio to get to court so I believe the majority of the money should go to that community.,1961,Woman,NA,No,White or Caucasian,Independent,NA,Democrat,Associates or technical degree,"$70,000 to $79,999"
2023-12-21 15:19:12,2023-12-21 15:21:35,100,142,True,2023-12-21 15:21:35,R_1UhbLnjHz1vqUP7,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,Since the black people live further they should get more of the funds since its harder for them to get to the courthouse.,1991,Woman,NA,No,White or Caucasian,Independent,NA,Democrat,"Some college, but no degree","$90,000 to $99,999"
2023-12-21 15:20:56,2023-12-21 15:22:09,100,73,True,2023-12-21 15:22:09,R_7vRF2HkVHl9mOpH,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,i wanted it to be equal,1981,Man,NA,No,White or Caucasian,Republican,NA,NA,Associates or technical degree,"$60,000 to $69,999"
2023-12-21 15:20:48,2023-12-21 15:22:10,100,81,True,2023-12-21 15:22:10,R_6remIYhAeGmDOKJ,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option E,NA,This option helped prevent the most people from going to jail fo missing their couirt date.,1973,Woman,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$100,000 to $149,999"
2023-12-21 15:16:39,2023-12-21 15:22:26,100,347,True,2023-12-21 15:22:27,R_1UqZ3UJ2yQE5Yhr,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,Its better to share the budget equal than give 100% to one group.,1969,Man,NA,No,Black or African American,Republican,NA,NA,High school diploma or GED,"$20,000 to $29,999"
2023-12-21 15:18:42,2023-12-21 15:22:36,100,234,True,2023-12-21 15:22:37,R_69tA7JGGdoSAsu7,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,It offered a fair amount of money to black people who needed it more and it kept a fair amount of people out of jail.,1965,Woman,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$30,000 to $39,999"
2023-12-21 15:20:04,2023-12-21 15:22:54,100,169,True,2023-12-21 15:22:54,R_30HPemVg4Tmnrm6,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,Main goal was to keep people from going to jail because they couldn't make it to court. So I went with the option that would keep more people out of jail.,1988,Woman,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$30,000 to $39,999"
2023-12-21 15:20:57,2023-12-21 15:22:59,100,122,True,2023-12-21 15:23:00,R_7BhwoPWGOuxWBJ7,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,average,1995,Woman,NA,No,White or Caucasian,Independent,NA,Democrat,"Some college, but no degree","$20,000 to $29,999"
2023-12-21 15:18:37,2023-12-21 15:23:03,100,265,True,2023-12-21 15:23:03,R_1em0lgKcKtJGV73,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,I first wanted to pick option 2 or B bc it's not fair that they have to pay more since they love further and I've been without a car before and know it is difficult however if I were in that situation like I committed a crime and needed to get to the courthouse I would feel like it's unfair that black people got a higher amount for rideshare. I'm white so I  would feel frustrated that just bc they happen to live in the black area they shouldn't get more money for rides.,1986,Woman,NA,Yes,White or Caucasian,Democrat,NA,NA,"Some college, but no degree","$60,000 to $69,999"
2023-12-21 15:15:18,2023-12-21 15:23:21,100,482,True,2023-12-21 15:23:22,R_5zFLWxgoCmUvezg,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,It resulted in close.to the maximum amount of people avoiding jale along with the fact it was evenly distributed 50-50.,1953,Man,NA,No,White or Caucasian,Democrat,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$50,000 to $59,999"
2023-12-21 15:19:08,2023-12-21 15:23:43,100,274,True,2023-12-21 15:23:43,R_3JzlC5QGoGqoSg4,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,The full funds should NOT go to one ethnic group.  It should be divided as fairly as possible between ALL people who travel to court.,1956,Man,NA,No,White or Caucasian,Independent,NA,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$30,000 to $39,999"
2023-12-21 15:20:55,2023-12-21 15:23:59,100,184,True,2023-12-21 15:24:00,R_6NKFa9evbAuLofG,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,It was equal and still helped a good amount of people from going to jail.,1995,Woman,NA,Yes,"White or Caucasian,American Indian/Native American or Alaska Native",Independent,NA,Republican,Bachelor’s degree,"$20,000 to $29,999"
2023-12-21 15:22:12,2023-12-21 15:24:53,100,160,True,2023-12-21 15:24:53,R_5sp0OfbmA44u4wf,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,gives everyone something,1980,Woman,NA,No,White or Caucasian,Democrat,NA,NA,"Some college, but no degree","$90,000 to $99,999"
2023-12-21 15:23:34,2023-12-21 15:24:53,100,79,True,2023-12-21 15:24:54,R_6w1tALNNghTu7Ij,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,I felt this was the most fair allocation and would not stir up controversy,1972,Man,NA,No,White or Caucasian,Democrat,NA,NA,High school diploma or GED,"$20,000 to $29,999"
2023-12-21 15:22:48,2023-12-21 15:25:27,100,159,True,2023-12-21 15:25:28,R_5CxN5dicoAMVVsy,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,It's a fair share between white and black and keeps a high amount of people out of jail.,1985,Man,NA,No,White or Caucasian,Independent,NA,Democrat,High school diploma or GED,"$30,000 to $39,999"
2023-12-21 15:23:19,2023-12-21 15:25:43,100,144,True,2023-12-21 15:25:44,R_65SeRL2h5uqFnij,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,It's even and doesn't depend on race. I don't think that is fair.,1991,Woman,NA,No,White or Caucasian,Republican,NA,NA,Bachelor’s degree,"$80,000 to $89,999"
2023-12-21 15:23:05,2023-12-21 15:26:11,100,186,True,2023-12-21 15:26:12,R_11tp6tZPKnoYVa2,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,More people avoided jail,1986,Woman,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$50,000 to $59,999"
2023-12-21 15:24:58,2023-12-21 15:26:18,100,79,True,2023-12-21 15:26:18,R_70AD1rMxmz4Zzc9,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,Because that's the biggest # of people who avoid jail,1974,Woman,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$50,000 to $59,999"
2023-12-21 15:22:39,2023-12-21 15:26:30,100,231,True,2023-12-21 15:26:31,R_1qvyFRUgCXBrb0J,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,It was the second highest number of people to avoid jail. I think 900 something. Giving more to white people avoid over 1000 people in jail to felt weird,1982,Man,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$150,000 or more"
2023-12-21 15:15:33,2023-12-21 15:26:50,100,677,True,2023-12-21 15:26:51,R_7CgULTqIs6p75bH,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,Higher cost would provide more benefits to those in need,1973,Man,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$150,000 or more"
2023-12-21 15:24:58,2023-12-21 15:26:51,100,112,True,2023-12-21 15:26:51,R_6Yh002hwTf9C7lf,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,Equality,1971,Man,NA,Yes,White or Caucasian,Republican,NA,NA,"Some college, but no degree","$20,000 to $29,999"
2023-12-21 15:25:48,2023-12-21 15:26:57,100,69,True,2023-12-21 15:26:58,R_75WLZeI6RivYlOL,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,I thought option B was the best answer.,1965,Man,NA,No,White or Caucasian,Republican,NA,NA,Bachelor’s degree,"$60,000 to $69,999"
2023-12-21 15:24:38,2023-12-21 15:27:12,100,154,True,2023-12-21 15:27:12,R_5ONrUGYPj5dr1K0,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,I thought I would keep it even and help out a lot of people.,1979,Woman,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$40,000 to $49,999"
2023-12-21 15:23:24,2023-12-21 15:27:28,100,243,True,2023-12-21 15:27:28,R_3QaR67qGTICO1dX,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,"I wouldn't base the distribution of resources specifically by race, so I would keep it even",1992,Man,NA,No,Black or African American,No preference,NA,NA,"Some college, but no degree","$80,000 to $89,999"
2023-12-21 15:26:23,2023-12-21 15:27:55,100,91,True,2023-12-21 15:27:55,R_3U5utrFIjV1hP8S,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,the most amount of people are helped,1983,Man,NA,No,Asian,Democrat,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
2023-12-21 15:23:07,2023-12-21 15:27:57,100,290,True,2023-12-21 15:27:58,R_3hFJ04df7K6nCwT,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,"I think it should be devided equal. Even though white people may live closer they may still live poorly and need money for food etc, other then being charged a higher price for transportation",1952,Woman,NA,No,White or Caucasian,Democrat,NA,NA,High school diploma or GED,"$20,000 to $29,999"
2023-12-21 15:25:25,2023-12-21 15:28:03,100,157,True,2023-12-21 15:28:03,R_5rOJ2CjFaYXa7Yz,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,It keeps things fair and equal and still helps a lot of people,1981,Woman,NA,No,White or Caucasian,Democrat,NA,NA,"Some college, but no degree","$40,000 to $49,999"
2023-12-21 15:25:24,2023-12-21 15:28:07,100,163,True,2023-12-21 15:28:07,R_11ZvFXKcZ9RloGJ,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,Wanted to make it equal between races,1966,Woman,NA,No,White or Caucasian,Republican,NA,NA,Bachelor’s degree,"$60,000 to $69,999"
